30,cs057,周行派出所,504980.867345,3509399.761733,1,POINT (504980.867345 3509399.761733),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (504980.867345 3509399.761733)
31,cs099,虞山镇琴枫园,499848.939679,3506574.099726,1,POINT (499848.939679 3506574.099726),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (499848.939679 3506574.099726)
32,cs100,常熟老街,500044.969312,3507835.195383,1,POINT (500044.969312 3507835.195383),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (500044.969312 3507835.195383)
33,cs058,赵市派出所,508191.929432,3513939.511465,1,POINT (508191.929432 3513939.511465),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (508191.929432 3513939.511465)
34,cs059,梅李梅南社区居委会,510730.882496,3508446.464617,1,POINT (510730.882496 3508446.464617),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (510730.882496 3508446.464617)
35,cs060,珍门派出所,513295.323918,3506457.21543,1,POINT (513295.323918 3506457.21543),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (513295.323918 3506457.21543)
36,cs061,董浜镇常隆无缝钢管厂,516558.389725,3503977.403209,1,POINT (516558.389725 3503977.403209),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (516558.389725 3503977.403209)
37,cs062,董浜中法水务营业所,517978.666456,3503999.945543,1,POINT (517978.666456 3503999.945543),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (517978.666456 3503999.945543)
38,cs063,徐市派出所,519238.165252,3505585.357723,1,POINT (519238.165252 3505585.357723),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (519238.165252 3505585.357723)
39,cs064,何市丰一聚酒楼,524394.864722,3501809.691011,1,POINT (524394.864722 3501809.691011),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (524394.864722 3501809.691011)
40,cs065,淼泉水厂,506113.262489,3504624.581249,1,POINT (506113.262489 3504624.581249),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (506113.262489 3504624.581249)
41,cs066,兴隆派出所,502131.301314,3505460.611712,1,POINT (502131.301314 3505460.611712),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (502131.301314 3505460.611712)
42,cs067,漕泾泾强快餐,500577.21672,3504918.282873,1,POINT (500577.21672 3504918.282873),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (500577.21672 3504918.282873)
43,cs075,支塘镇卫生院,519430.345589,3498700.061994,1,POINT (519430.345589 3498700.061994),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (519430.345589 3498700.061994)
